id,title,genero,score,userId
as1,the grand seduction,"comedy, drama",5.0,543
as2,take care good night,"drama, international",3.0,321
as3,secrets of deception,"action, drama, suspense",5.0,582
as4,pink: staying true,documentary,1.5,151
as5,monster maker,"drama, fantasy",5.0,24
as6,living with dinosaurs,"fantasy, kids",5.0,161
as7,hired gun,"documentary, special interest",5.0,359
as8,grease live!,comedy,4.0,60
as9,global meltdown,"action, science fiction, suspense",2.5,741
as10,david's mother,drama,4.0,230
as11,forest fairies,"adventure, kids",2.5,231
as12,take care,comedy,3.5,376
as13,the night eats the world,"horror, suspense",4.0,41
as14,resilencia,"documentary, sports",2.5,201
as15,elon musk: the real life iron man,documentary,4.0,160
as16,summer '03,"comedy, drama",5.0,9
as17,zoombies,"horror, science fiction",5.0,115
as18,zoo babies,"kids, special interest",3.0,440
as19,zoë coombs marr: bossy bottom,"comedy, talk show and variety",3.5,15
as20,zoe,science fiction,5.0,55
as21,zoboomafoo,kids,5.0,80
as22,zo zo zombie: mini-series,"action, anime, comedy",3.0,166
as23,zis boom bah,"arts, entertainment, and culture, comedy, drama",4.0,209
as24,zerozerozero,tv shows,3.0,98
as25,zandalee,drama,5.0,261
as26,zambezi: force of life,documentary,1.0,151
as27,zahara: the return,tv shows,2.5,46
as28,z: the beginning of everything,"comedy, drama",4.0,68
as29,yu-gi-oh! zexal,"animation, anime, fantasy",4.0,741
as30,yu-gi-oh! arc-v,"action, adventure, animation",4.5,429
as31,yu-gi-oh! 5d's,"anime, kids",3.0,497
as32,your bleeped up brain,tv shows,4.0,191
as33,young lovers,drama,3.0,231
as34,young love (at the sun factory),music videos and concerts,3.0,185
as35,young love (at bowery ballroom),music videos and concerts,4.0,229
as36,young lions,"drama, suspense",4.0,230
as37,you're not you,drama,1.5,259
as38,"you, me and him","comedy, drama",4.0,77
as39,yoga with sound meditations,"fitness, special interest",2.0,871
as40,yoga to harness your chakra energy,"faith and spirituality, special interest",2.0,151
as41,yoga to ease flight anxiety,"fitness, special interest",4.0,994
as42,yoga to break any habit,special interest,4.0,229
as43,"yoga therapy for back pain, neck pain & stress relief - lindsey samper",fitness,4.5,16
as44,yoga savasana relaxation,"fitness, special interest",3.5,506
as45,yoga for relaxation anywhere,"fitness, special interest",4.5,61
as46,yoga for relaxation and stress relief anywhere,"fitness, special interest",3.5,231
as47,yoga for relaxation and stress relief,special interest,3.0,24
as48,yoga for mindfulness and meditation,"fitness, special interest",2.5,59
as49,yoga for men's health,"fitness, special interest",3.5,222
as50,yoga for breath awareness,"fitness, special interest",4.0,533
as51,yoga for beginners,"fitness, special interest",4.0,1040
as52,yoga for abdominal breathing,special interest,3.0,132
as53,yellowneck,"action, military and war, western",3.0,101
as54,yearly departed,"arts, entertainment, and culture, comedy, talk show and variety",2.5,98
as55,yatra (telugu),"drama, international",3.5,211
as56,yatra (malayalam),"drama, international",4.0,242
as57,yancy derringer,"action, western",3.5,234
as58,xploration earth 2050,"documentary, science fiction",4.0,346
as59,xiaolin chronicles,"adventure, animation, kids",5.0,922
as60,xchange,"fantasy, science fiction, suspense",4.5,15
as61,x-ray,suspense,3.5,468
as62,wwii in hd,action,2.5,368
as63,wrangler: anatomy of an icon,"documentary, lgbtq",2.0,82
as64,wpc 56,"drama, romance, suspense",4.5,56
as65,would i lie to you?,"comedy, special interest, unscripted",5.0,334
as66,wotakoi: love is hard for otaku,tv shows,3.5,483
as67,world’s toughest race: eco-challenge fiji,unscripted,5.0,56
as68,world war ii: when lions roared,drama,3.0,53
as69,world war ii: saving the reality,documentary,3.0,191
as70,world war 2 - the call of duty: a complete timeline,"documentary, military and war",5.0,209
as71,world inferno friendship society,music videos and concerts,3.5,231
as72,world food championships,tv shows,4.0,326
as73,wordworld,kids,3.0,741
as74,words on bathroom walls,drama,4.0,229
as75,wordgirl,kids,4.0,49
as76,wonders of mexico,"documentary, special interest",3.0,251
as77,wonderful nursery rhymes with mia - little baby bum,kids,4.0,611
as78,wonderful nursery rhymes with jacus - by little baby bum,kids,3.5,43
as79,wonder balls,"animation, kids",2.0,930
as80,women of valor,"action, drama",2.0,229
as81,woman of desire,"drama, suspense",3.0,235
as82,woke up like this,comedy,4.5,68
as83,"wizard of loneliness, the",drama,4.0,12
as84,within our gates,drama,3.0,149
as85,wishenpoof,kids,3.5,355
as86,wisconsin unexplained,tv shows,3.0,74
as87,wipeout canada,"comedy, documentary, unscripted",5.0,527
as88,wipeout australia,"comedy, documentary, unscripted",1.5,398
as89,winterset,"action, drama",3.5,352
as90,winds of the wasteland,western,5.0,235
as91,wind,"action, drama, sports",4.5,62
as92,william the conqueror,"documentary, special interest",4.0,436
as93,william tecumseh sherman: beyond the march to the sea,"documentary, special interest",3.5,434
as94,william lee martin: the nutcracker - a christmas stand-up comedy spectacular,"arts, entertainment, and culture, comedy",3.5,111
as95,william lee martin: standing in the middle,"arts, entertainment, and culture, comedy, special interest",5.0,523
as96,william and kate: into the future,"documentary, international, special interest",1.5,22
as97,wildlike,"action, drama",2.5,775
as98,wildfire 7,"action, drama",4.0,53
as99,wildest places,"documentary, special interest",2.0,251
as100,wilder napalm,"comedy, science fiction",2.0,390
as101,wild north,"documentary, special interest",4.5,273
as102,wild kratts,kids,4.0,24
as103,wild geese,action,3.5,434
as104,wild colombia revealed,"documentary, special interest",5.0,12
as105,wild boys,"drama, western",3.0,58
as106,why we fight,documentary,4.0,755
as107,why i ran,tv shows,4.0,346
as108,whoop!,"arts, entertainment, and culture",5.0,158
as109,who wrote the new testament?,"drama, special interest",3.0,127
as110,who put the klan into ku klux klan,documentary,4.0,294
as111,who killed doc robin,comedy,5.0,155
as112,whitney cummings: money shot,"arts, entertainment, and culture, comedy, special interest",2.0,90
as113,whitechapel,"drama, suspense",3.0,76
as114,white tiger,"action, science fiction",4.0,62
as115,white savior: racism in the american church,"documentary, faith and spirituality, special interest",5.0,277
as116,white dragon,drama,3.0,434
as117,whistle stop,drama,5.0,65
as118,where love found me,"action, drama, special interest",2.0,229
as119,where is chicky? - chapter two,"animation, kids",5.0,80
as120,where is chicky? - chapter three,"animation, kids",4.5,361
as121,where is chicky? - chapter one,"animation, kids",3.0,611
as122,where is chicky? - chapter four,"animation, kids",4.5,465
as123,where hands touch,"drama, young adult audience",5.0,107
as124,when the lights go on again,"drama, military and war",2.0,79
as125,when in your reflection,drama,4.0,20
as126,when did you last see your father?,"arthouse, drama",5.0,201
as127,when a woman loves a man,drama,3.0,74
as128,whatever father,comedy,4.0,120
as129,what's up in space: the solar system for kids,"documentary, kids, special interest",4.0,24
as130,what's my line?,unscripted,3.0,28
as131,what went wrong: countdown to catastrophe,"documentary, special interest",4.5,22
as132,what the constitution means to me,comedy,3.0,123
as133,what price crime,suspense,2.5,1051
as134,what comes around,"action, adventure, comedy",4.0,337
as135,wgc-dell technologies match play reveal show,sports,1.5,43
as136,western gold,"military and war, western",3.0,463
as137,west of nevada,"action, comedy, drama",2.5,436
